KO	Avg	Std	Std/Avg	#species	#genes	avg-genes-per-species	std	length	%min_0.05	%min_0.1	%min_0.2	%min_0.3	%min_0.4	%min_0.5	mean_cons	med_cons	q1	q2	q3	q4	q5	q6	q7	q8	q9	GC_Max	GC_Min	GC_Mean	GC_Median	GC_Std	GC_MAD	Recall_normByKOtop20	Precision_normByKOtop20	Recall_highestGenes	Precision_highestGenes
K01470	780.764075	76.616402	0.098130	556.000000	746.000000	1.341727	0.661791	746.000000	1.580000	1.293000	0.979000	0.793000	0.505000	0.313000	0.093700	0.008040	0.001340	0.002680	0.004020	0.005360	0.008040	0.014700	0.030800	0.126000	0.369000	0.798000	0.273000	0.569000	0.599000	0.121000	0.090000	0.990414	0.870217	0.970194	0.969005
K01473	2057.908929	119.852491	0.058240	357.000000	560.000000	1.568627	1.158225	560.000000	4.469000	4.030000	3.676000	3.403000	2.682000	1.810000	0.174000	0.010700	0.001780	0.001780	0.003570	0.007140	0.010700	0.025000	0.187000	0.419000	0.598000	0.782000	0.328000	0.601000	0.640000	0.112000	0.056100	0.972665	0.985272	0.981247	0.995029
K01474	1734.981366	192.269892	0.110820	309.000000	483.000000	1.563107	1.110779	483.000000	4.625000	3.925000	3.534000	3.281000	2.461000	1.594000	0.120000	0.008280	0.002070	0.002070	0.004140	0.006210	0.008280	0.012400	0.031000	0.250000	0.484000	0.751000	0.332000	0.602000	0.638000	0.106000	0.051000	0.918065	0.991950	0.975250	1.000000
K01476	920.500800	101.446369	0.110208	563.000000	625.000000	1.110124	0.355867	488.000000	2.530000	2.303000	1.852000	1.631000	1.116000	0.799000	0.117000	0.006140	0.002040	0.002040	0.004090	0.004090	0.006140	0.012200	0.034800	0.211000	0.454000	0.786000	0.299000	0.534000	0.530000	0.127000	0.126000	0.974222	0.992414	0.988777	1.000000
K01478	1221.434211	98.219168	0.080413	689.000000	760.000000	1.103048	0.313652	760.000000	1.776000	1.734000	1.651000	1.496000	1.118000	0.809000	0.206000	0.010500	0.001310	0.001310	0.002630	0.005260	0.010500	0.028900	0.334000	0.465000	0.686000	0.759000	0.265000	0.492000	0.470000	0.137000	0.117000	0.986083	0.983645	0.985897	0.998532
K01479	916.910959	86.080972	0.093881	565.000000	584.000000	1.033628	0.180430	584.000000	2.393000	2.085000	1.678000	1.294000	0.868000	0.503000	0.178000	0.051300	0.001710	0.003420	0.008560	0.020500	0.051300	0.143000	0.265000	0.380000	0.511000	0.777000	0.281000	0.535000	0.532000	0.123000	0.103000	0.975036	0.981391	0.990448	0.997886
K01480	936.473910	91.088203	0.097267	1047.000000	1399.000000	1.336199	0.696658	1206.000000	1.036000	0.909000	0.749000	0.649000	0.457000	0.303000	0.102000	0.006630	8.290000e-04	0.001650	0.002480	0.004140	0.006630	0.013200	0.025700	0.126000	0.413000	0.755000	0.250000	0.549000	0.554000	0.117000	0.098600	0.983346	0.993190	0.985144	0.998979
K01483	503.340153	35.316944	0.070165	333.000000	391.000000	1.174174	0.431786	315.000000	1.977000	1.752000	1.634000	1.536000	1.380000	1.069000	0.134000	0.009520	0.003170	0.006340	0.006340	0.006340	0.009520	0.012600	0.028500	0.196000	0.584000	0.748000	0.341000	0.588000	0.595000	0.089700	0.073200	0.998843	0.952862	1.000000	1.000000
K01484	1333.557692	74.606881	0.055946	353.000000	364.000000	1.031161	0.174001	364.000000	3.758000	3.744000	3.730000	3.640000	3.307000	2.793000	0.524000	0.541000	0.002740	0.005490	0.379000	0.478000	0.541000	0.640000	0.758000	0.936000	0.991000	0.776000	0.378000	0.569000	0.561000	0.086700	0.070600	0.987381	0.997776	0.987381	0.997977
K01485	1096.764192	339.398468	0.309454	599.000000	687.000000	1.146912	0.449957	575.000000	2.485000	2.325000	2.201000	1.942000	1.386000	0.869000	0.174000	0.017300	0.001730	0.001730	0.003470	0.008690	0.017300	0.040000	0.297000	0.413000	0.561000	0.790000	0.205000	0.553000	0.565000	0.117000	0.078700	0.956049	0.917372	0.775907	0.998517
K01486	1740.871863	100.013931	0.057450	612.000000	757.000000	1.236928	0.595462	757.000000	2.947000	2.644000	2.282000	2.003000	1.420000	1.009000	0.153000	0.007920	0.001320	0.001320	0.002640	0.003960	0.007920	0.017100	0.114000	0.352000	0.557000	0.779000	0.270000	0.510000	0.509000	0.120000	0.105000	0.988526	0.990253	0.977755	0.992533
K01487	1265.679739	219.315967	0.173279	420.000000	459.000000	1.092857	0.290578	416.000000	3.598000	3.252000	3.153000	3.045000	2.540000	1.901000	0.225000	0.024000	0.002400	0.004800	0.007210	0.012000	0.024000	0.057600	0.391000	0.524000	0.723000	0.765000	0.239000	0.569000	0.586000	0.107000	0.095200	0.982726	0.980220	0.727620	0.996849
K01488	1055.584989	150.061445	0.142160	1030.000000	1359.000000	1.319417	0.778671	1152.000000	1.138000	0.988000	0.875000	0.798000	0.568000	0.371000	0.063700	0.003470	8.680000e-04	8.680000e-04	0.001730	0.001730	0.003470	0.005200	0.011200	0.023400	0.291000	0.772000	0.256000	0.555000	0.568000	0.123000	0.097700	0.994321	0.997540	0.993924	1.000000
K01489	502.624675	191.028891	0.380063	1421.000000	1540.000000	1.083744	0.379987	1117.000000	0.883000	0.720000	0.374000	0.304000	0.213000	0.159000	0.055900	0.001790	8.950000e-04	8.950000e-04	8.950000e-04	8.950000e-04	0.001790	0.002680	0.006260	0.025000	0.163000	0.773000	0.258000	0.505000	0.500000	0.129000	0.110000	0.981779	0.979250	0.987112	1.000000
K01491	868.626202	30.199034	0.034766	2332.000000	2496.000000	1.070326	0.276699	2496.000000	0.381000	0.362000	0.342000	0.321000	0.243000	0.183000	0.133000	0.002400	4.000000e-04	8.010000e-04	0.001200	0.001600	0.002400	0.004400	0.011200	0.312000	0.554000	0.768000	0.204000	0.514000	0.503000	0.129000	0.109000	0.972433	0.999986	0.983990	1.000000
K01493	493.916849	81.661643	0.165335	905.000000	914.000000	1.009945	0.099281	681.000000	1.211000	0.860000	0.678000	0.578000	0.411000	0.298000	0.070000	0.004400	0.001460	0.001460	0.001460	0.002930	0.004400	0.010200	0.020500	0.045500	0.232000	0.712000	0.258000	0.450000	0.435000	0.099000	0.061900	0.989744	0.979919	0.986861	1.000000
K01494	611.318015	147.825613	0.241815	1560.000000	1632.000000	1.046154	0.254122	1632.000000	0.636000	0.417000	0.356000	0.315000	0.245000	0.161000	0.110000	0.005510	6.120000e-04	6.120000e-04	0.001220	0.001830	0.005510	0.016500	0.055100	0.127000	0.447000	0.742000	0.256000	0.521000	0.544000	0.115000	0.090200	0.993353	0.998210	0.992604	1.000000
K01495	619.009174	65.708549	0.106151	1759.000000	1962.000000	1.115406	0.362939	1419.000000	0.542000	0.491000	0.417000	0.384000	0.290000	0.221000	0.131000	0.004930	7.040000e-04	0.001400	0.002110	0.003520	0.004930	0.009860	0.033100	0.264000	0.536000	0.773000	0.228000	0.510000	0.508000	0.115000	0.102000	0.990585	0.998874	0.981811	1.000000
K01496	389.785066	66.499755	0.170606	977.000000	991.000000	1.014330	0.127232	991.000000	0.520000	0.441000	0.389000	0.350000	0.284000	0.201000	0.092200	0.003020	0.001000	0.001000	0.002010	0.002010	0.003020	0.004030	0.007060	0.042300	0.417000	0.775000	0.124000	0.552000	0.584000	0.123000	0.079800	0.923755	0.996369	0.989654	1.000000
K01497	663.691391	158.802661	0.239272	690.000000	755.000000	1.094203	0.320732	573.000000	1.677000	1.181000	1.052000	1.003000	0.867000	0.657000	0.112000	0.012200	0.001740	0.003490	0.005230	0.008720	0.012200	0.024400	0.038300	0.071500	0.488000	0.743000	0.108000	0.508000	0.500000	0.118000	0.095200	0.912741	0.997836	0.992166	1.000000
K01501	869.092437	63.484340	0.073047	213.000000	238.000000	1.117371	0.336924	266.000000	4.225000	3.902000	3.330000	3.071000	2.417000	1.627000	0.120000	0.007510	0.003750	0.003750	0.003750	0.003750	0.007510	0.011200	0.026300	0.218000	0.496000	0.741000	0.286000	0.592000	0.618000	0.113000	0.072000	0.927186	0.925942	0.808589	0.999808
K01505	969.536842	56.341609	0.058112	179.000000	190.000000	1.061453	0.240832	198.000000	6.217000	5.606000	5.262000	4.989000	4.232000	2.984000	0.094100	0.005050	0.005050	0.005050	0.005050	0.005050	0.005050	0.005050	0.010100	0.030300	0.459000	0.752000	0.268000	0.563000	0.613000	0.125000	0.064200	0.815970	0.997562	0.878655	1.000000
K01507	534.715434	107.613089	0.201253	1756.000000	1866.000000	1.062642	0.256104	1570.000000	0.459000	0.351000	0.338000	0.313000	0.242000	0.178000	0.053600	0.001910	6.360000e-04	6.360000e-04	6.360000e-04	0.001270	0.001910	0.002540	0.003820	0.008910	0.059200	0.737000	0.228000	0.487000	0.497000	0.114000	0.105000	0.989174	0.977755	0.988851	0.999098
K01512	285.736693	29.546036	0.103403	1389.000000	1409.000000	1.014399	0.119171	1422.000000	0.254000	0.219000	0.197000	0.165000	0.114000	0.081500	0.111000	0.008430	7.030000e-04	0.001400	0.003510	0.005620	0.008430	0.012600	0.021800	0.185000	0.439000	0.800000	0.226000	0.529000	0.523000	0.127000	0.111000	0.985933	0.994293	0.986145	0.994839
K01515	585.829823	56.436304	0.096336	1631.000000	1804.000000	1.106070	0.340200	1311.000000	0.632000	0.523000	0.418000	0.341000	0.225000	0.148000	0.066600	0.003050	7.620000e-04	7.620000e-04	0.001520	0.002280	0.003050	0.004570	0.011400	0.035000	0.276000	0.781000	0.250000	0.516000	0.507000	0.121000	0.101000	0.972308	0.936257	0.971773	0.995470
K01520	464.468373	70.278018	0.151309	2014.000000	2071.000000	1.028302	0.198588	1720.000000	0.317000	0.280000	0.263000	0.230000	0.170000	0.122000	0.040700	0.001160	5.810000e-04	5.810000e-04	5.810000e-04	0.001160	0.001160	0.001740	0.003480	0.008130	0.021500	0.799000	0.167000	0.512000	0.494000	0.125000	0.101000	0.983565	0.987910	0.985561	1.000000
K01521	771.466019	45.539154	0.059029	305.000000	309.000000	1.013115	0.139872	309.000000	2.893000	2.711000	2.459000	2.433000	2.281000	1.915000	0.328000	0.113000	0.006470	0.009700	0.019400	0.029100	0.113000	0.459000	0.579000	0.692000	0.854000	0.739000	0.354000	0.532000	0.529000	0.077800	0.045300	0.991787	0.996714	0.991102	1.000000
K01523	318.804324	45.999877	0.144289	906.000000	925.000000	1.020971	0.143367	925.000000	0.449000	0.412000	0.347000	0.312000	0.248000	0.180000	0.127000	0.006480	0.001080	0.001080	0.002160	0.003240	0.006480	0.011800	0.022700	0.259000	0.521000	0.745000	0.094300	0.543000	0.595000	0.131000	0.076300	0.912440	1.000000	0.978523	1.000000
K01524	1303.102923	281.383787	0.215934	1662.000000	2429.000000	1.461492	0.541496	2429.000000	0.900000	0.728000	0.521000	0.339000	0.214000	0.126000	0.043100	0.002050	4.110000e-04	8.230000e-04	8.230000e-04	0.001230	0.002050	0.003290	0.005760	0.015200	0.137000	0.796000	0.236000	0.541000	0.545000	0.127000	0.104000	0.979010	0.992413	0.980494	1.000000
K01525	842.670330	32.110285	0.038105	636.000000	637.000000	1.001572	0.039653	638.000000	1.467000	1.391000	1.324000	1.260000	1.072000	0.800000	0.257000	0.026600	0.001560	0.003130	0.004700	0.007830	0.026600	0.233000	0.435000	0.562000	0.813000	0.745000	0.204000	0.540000	0.557000	0.112000	0.087800	0.956591	0.999304	0.985558	1.000000
K01529	1762.664740	1215.288483	0.689461	105.000000	173.000000	1.647619	1.611145	183.000000	40.049000	27.606000	11.213000	3.972000	1.049000	0.213000	0.118000	0.092800	0.005460	0.016300	0.049100	0.071000	0.092800	0.125000	0.153000	0.196000	0.262000	0.762000	0.258000	0.519000	0.516000	0.134000	0.137000	0.771799	0.838296	0.614579	0.955821
K01531	2660.756278	247.173090	0.092896	590.000000	677.000000	1.147458	0.368936	678.000000	4.370000	4.203000	3.979000	3.727000	3.042000	2.358000	0.296000	0.078100	0.001470	0.005890	0.010300	0.014700	0.078100	0.355000	0.470000	0.616000	0.890000	0.775000	0.198000	0.506000	0.525000	0.125000	0.101000	0.970920	0.977206	0.971176	0.997600
K01534	2131.217365	241.575944	0.113351	1255.000000	1624.000000	1.294024	0.612539	1624.000000	1.708000	1.482000	1.262000	1.055000	0.743000	0.543000	0.080500	0.002460	6.150000e-04	6.150000e-04	0.001230	0.001840	0.002460	0.004920	0.010400	0.034400	0.339000	0.786000	0.204000	0.521000	0.514000	0.125000	0.108000	0.914357	0.957272	0.936612	0.997378
K01537	2687.071770	198.800660	0.073984	471.000000	627.000000	1.331210	0.715083	519.000000	6.342000	5.527000	5.086000	4.368000	3.134000	2.337000	0.094100	0.005780	0.001920	0.001920	0.001920	0.003850	0.005780	0.009630	0.017300	0.046200	0.387000	0.774000	0.232000	0.461000	0.448000	0.122000	0.094200	0.945383	0.871500	0.804033	0.989299
K01546	1693.093783	123.307883	0.072830	903.000000	949.000000	1.050941	0.239310	949.000000	1.959000	1.826000	1.787000	1.741000	1.493000	1.139000	0.244000	0.008420	0.001050	0.001050	0.002100	0.003160	0.008420	0.072700	0.421000	0.561000	0.822000	0.744000	0.290000	0.554000	0.575000	0.114000	0.079400	0.928438	0.984164	0.925999	0.984312
K01547	2058.264706	138.487159	0.067283	903.000000	952.000000	1.054264	0.236242	952.000000	2.349000	2.255000	2.170000	2.106000	1.858000	1.503000	0.339000	0.144000	0.001050	0.003150	0.005250	0.018900	0.144000	0.425000	0.544000	0.733000	0.974000	0.747000	0.307000	0.566000	0.589000	0.116000	0.079800	0.948872	0.982505	0.947966	0.983607
K01548	599.631303	67.639140	0.112801	909.000000	952.000000	1.047305	0.217530	952.000000	0.774000	0.660000	0.610000	0.566000	0.447000	0.322000	0.126000	0.006300	0.001050	0.001050	0.002100	0.004200	0.006300	0.016800	0.032500	0.212000	0.528000	0.786000	0.255000	0.565000	0.596000	0.129000	0.089100	0.958713	1.000000	0.959146	1.000000
K01551	1270.562500	316.991112	0.249489	531.000000	768.000000	1.446328	0.902011	666.000000	3.469000	2.692000	1.785000	1.235000	0.714000	0.445000	0.077100	0.004500	0.001500	0.001500	0.001500	0.003000	0.004500	0.009000	0.027000	0.106000	0.286000	0.809000	0.268000	0.528000	0.521000	0.122000	0.100000	0.934020	0.981598	0.934536	0.983356
K01552	2222.776000	481.220305	0.216495	262.000000	375.000000	1.431298	0.840232	375.000000	9.261000	7.933000	5.970000	4.245000	2.592000	1.506000	0.089700	0.008000	0.002660	0.002660	0.005330	0.005330	0.008000	0.016000	0.032000	0.141000	0.338000	0.787000	0.274000	0.564000	0.624000	0.142000	0.099900	0.791724	0.897488	0.791889	0.979751
K01554	643.920000	500.110387	0.776665	74.000000	75.000000	1.013514	0.116248	75.000000	11.960000	7.933000	7.400000	7.306000	7.253000	7.146000	0.153000	0.040000	0.013300	0.026600	0.026600	0.026600	0.040000	0.040000	0.040000	0.066600	0.760000	0.731000	0.310000	0.536000	0.535000	0.074300	0.007980	0.938320	0.990517	0.511353	1.000000
K01555	1277.219436	113.115912	0.088564	292.000000	319.000000	1.092466	0.373078	366.000000	3.934000	3.781000	3.579000	3.374000	2.959000	2.303000	0.201000	0.005460	0.002730	0.002730	0.002730	0.002730	0.005460	0.013600	0.295000	0.502000	0.721000	0.766000	0.332000	0.615000	0.657000	0.114000	0.055600	0.962322	0.998718	0.962322	1.000000
K01556	1254.217617	40.675010	0.032431	371.000000	386.000000	1.040431	0.197234	368.000000	4.122000	3.836000	3.529000	3.298000	2.722000	1.883000	0.170000	0.005430	0.002710	0.002710	0.002710	0.002710	0.005430	0.013500	0.116000	0.432000	0.603000	0.771000	0.287000	0.581000	0.642000	0.133000	0.076400	0.976279	0.999247	0.976845	1.000000
K01560	689.812088	65.421968	0.094840	574.000000	910.000000	1.585366	0.901150	960.000000	1.122000	0.888000	0.690000	0.573000	0.365000	0.213000	0.084200	0.006250	0.001040	0.001040	0.002080	0.004160	0.006250	0.009370	0.025000	0.094700	0.361000	0.781000	0.265000	0.561000	0.593000	0.128000	0.082200	0.861258	0.899796	0.925188	0.943720
K01561	891.269058	49.347721	0.055368	196.000000	223.000000	1.137755	0.413122	223.000000	4.529000	4.233000	3.991000	3.923000	3.551000	2.721000	0.365000	0.399000	0.004480	0.008960	0.017900	0.094100	0.399000	0.484000	0.560000	0.699000	0.878000	0.764000	0.331000	0.637000	0.668000	0.094200	0.043400	0.737198	0.724477	0.771591	0.822222
K01563	899.991354	110.283777	0.122539	242.000000	347.000000	1.433884	0.760656	348.000000	3.364000	3.198000	2.755000	2.367000	1.879000	1.287000	0.137000	0.005740	0.002870	0.002870	0.002870	0.002870	0.005740	0.011400	0.045900	0.330000	0.528000	0.789000	0.346000	0.614000	0.643000	0.088900	0.030900	0.997373	0.970793	0.997421	1.000000
K01567	858.360000	363.752318	0.423776	80.000000	175.000000	2.187500	2.403024	204.000000	10.897000	7.196000	3.754000	1.828000	0.710000	0.250000	0.104000	0.058800	0.009800	0.014700	0.024500	0.039200	0.058800	0.083300	0.122000	0.181000	0.284000	0.764000	0.242000	0.558000	0.590000	0.122000	0.086800	0.856427	0.870447	0.657743	0.993346
K01571	1617.887574	218.348629	0.134959	427.000000	507.000000	1.187354	0.457108	507.000000	3.804000	3.650000	3.457000	3.088000	2.493000	1.889000	0.296000	0.155000	0.001970	0.003940	0.007880	0.015700	0.155000	0.345000	0.457000	0.591000	0.891000	0.715000	0.304000	0.510000	0.498000	0.096700	0.075900	0.898466	0.965457	0.948076	0.992349
K01572	1203.990619	105.684761	0.087779	416.000000	533.000000	1.281250	0.551217	533.000000	2.540000	2.476000	2.324000	2.091000	1.735000	1.350000	0.253000	0.022500	0.001870	0.005620	0.009380	0.015000	0.022500	0.174000	0.380000	0.540000	0.906000	0.673000	0.328000	0.509000	0.496000	0.091300	0.067900	0.924082	0.955819	0.891037	0.993378
K01573	257.736641	34.241022	0.132853	200.000000	262.000000	1.310000	0.629189	262.000000	1.270000	1.091000	0.980000	0.927000	0.755000	0.503000	0.191000	0.030500	0.003810	0.007630	0.011400	0.019000	0.030500	0.049600	0.259000	0.442000	0.625000	0.662000	0.293000	0.508000	0.505000	0.093700	0.078200	0.829187	0.978947	0.804742	1.000000
K01575	739.670886	57.609507	0.077885	502.000000	553.000000	1.101594	0.308944	553.000000	1.558000	1.430000	1.307000	1.249000	0.962000	0.687000	0.222000	0.014400	0.001800	0.001800	0.003610	0.007230	0.014400	0.104000	0.363000	0.493000	0.719000	0.774000	0.233000	0.450000	0.442000	0.092400	0.065800	0.989588	0.984427	0.987358	0.998959
K01577	1709.111111	104.794497	0.061315	187.000000	189.000000	1.010695	0.103139	189.000000	9.756000	9.486000	9.174000	8.989000	8.587000	7.105000	0.619000	0.629000	0.058200	0.396000	0.470000	0.539000	0.629000	0.746000	0.883000	0.962000	0.994000	0.720000	0.395000	0.566000	0.605000	0.101000	0.091200	0.995947	0.999139	0.981953	1.000000
K01579	384.833844	32.875324	0.085427	1273.000000	1306.000000	1.025923	0.182023	1306.000000	0.343000	0.312000	0.290000	0.273000	0.225000	0.176000	0.176000	0.004590	7.650000e-04	7.650000e-04	0.001530	0.003060	0.004590	0.011400	0.090300	0.427000	0.689000	0.742000	0.262000	0.500000	0.511000	0.115000	0.099700	0.996304	1.000000	0.987255	1.000000
K01580	1415.203125	173.533153	0.122621	446.000000	576.000000	1.291480	0.510799	633.000000	3.011000	2.472000	2.268000	2.094000	1.687000	1.214000	0.171000	0.017300	0.001570	0.001570	0.004730	0.007890	0.017300	0.039400	0.105000	0.412000	0.620000	0.740000	0.297000	0.514000	0.529000	0.098800	0.074900	0.974608	0.990900	0.988161	1.000000
K01581	1706.673004	505.025297	0.295912	592.000000	789.000000	1.332770	0.506212	605.000000	3.988000	3.796000	3.532000	2.874000	2.219000	1.090000	0.175000	0.023100	0.001650	0.001650	0.003300	0.009910	0.023100	0.049500	0.282000	0.424000	0.509000	0.771000	0.254000	0.531000	0.523000	0.090700	0.066400	0.917749	0.946755	0.937188	0.951103
K01582	1997.413534	298.636528	0.149512	282.000000	399.000000	1.414894	0.521623	399.000000	5.654000	5.506000	5.390000	5.308000	4.754000	3.937000	0.458000	0.498000	0.005010	0.015000	0.080200	0.398000	0.498000	0.634000	0.731000	0.784000	0.887000	0.726000	0.298000	0.489000	0.505000	0.079700	0.029300	0.842507	0.963108	0.753588	0.994575
K01584	2357.898701	237.832722	0.100866	363.000000	385.000000	1.060606	0.238936	385.000000	8.207000	7.833000	6.114000	5.901000	5.163000	3.968000	0.369000	0.358000	0.007790	0.015500	0.106000	0.132000	0.358000	0.464000	0.561000	0.690000	0.854000	0.722000	0.336000	0.582000	0.613000	0.077400	0.048000	0.957778	0.988720	0.973427	0.993861
K01585	1871.196911	168.586272	0.090095	767.000000	777.000000	1.013038	0.113510	777.000000	2.890000	2.685000	2.500000	2.348000	1.876000	1.350000	0.259000	0.054000	0.001280	0.003860	0.006430	0.010200	0.054000	0.319000	0.424000	0.546000	0.763000	0.719000	0.233000	0.502000	0.510000	0.103000	0.079400	0.960090	0.999277	0.953008	1.000000
K01586	1290.986857	120.587845	0.093407	2043.000000	2587.000000	1.266275	0.591793	2587.000000	0.647000	0.570000	0.488000	0.400000	0.278000	0.195000	0.051200	0.001150	3.860000e-04	3.860000e-04	3.860000e-04	7.730000e-04	0.001150	0.001930	0.003860	0.010400	0.139000	0.782000	0.113000	0.528000	0.526000	0.132000	0.116000	0.990820	0.985557	0.990940	0.995603
K01588	505.067199	48.785780	0.096593	2101.000000	2128.000000	1.012851	0.112658	2128.000000	0.260000	0.243000	0.232000	0.219000	0.168000	0.132000	0.073700	9.390000e-04	4.690000e-04	4.690000e-04	4.690000e-04	4.690000e-04	9.390000e-04	0.001400	0.002340	0.007510	0.329000	0.770000	0.271000	0.545000	0.545000	0.117000	0.101000	0.888305	0.995102	0.896563	0.996271
K01589	1130.956672	65.610833	0.058014	1694.000000	1731.000000	1.021842	0.150195	1731.000000	0.826000	0.745000	0.652000	0.564000	0.409000	0.291000	0.134000	0.004620	5.770000e-04	0.001150	0.001730	0.002310	0.004620	0.010300	0.047300	0.313000	0.510000	0.767000	0.211000	0.541000	0.556000	0.126000	0.109000	0.972214	0.997874	0.974548	0.999846
K01591	755.224022	95.806784	0.126859	2181.000000	2223.000000	1.019257	0.137459	1590.000000	0.742000	0.615000	0.455000	0.337000	0.226000	0.155000	0.078300	0.004400	6.280000e-04	6.280000e-04	0.001250	0.002510	0.004400	0.008170	0.016300	0.083000	0.309000	0.806000	0.250000	0.521000	0.520000	0.130000	0.111000	0.977707	0.997015	0.978210	1.000000
K01592	1132.342857	49.180755	0.043433	105.000000	105.000000	1.000000	0.000000	105.000000	11.980000	11.457000	11.009000	10.171000	7.619000	5.647000	0.404000	0.380000	0.019000	0.028500	0.142000	0.323000	0.380000	0.457000	0.552000	0.714000	0.914000	0.749000	0.296000	0.510000	0.505000	0.136000	0.133000	0.922174	0.972219	0.974114	1.000000
K01595	2654.684211	356.196285	0.134177	1266.000000	1292.000000	1.020537	0.147351	1292.000000	2.578000	2.340000	2.118000	1.864000	1.355000	0.910000	0.130000	0.008510	7.730000e-04	0.001540	0.002320	0.005410	0.008510	0.013900	0.035600	0.309000	0.499000	0.760000	0.225000	0.552000	0.560000	0.119000	0.102000	0.980338	0.999570	0.980306	1.000000
K01596	1832.569948	83.036969	0.045312	567.000000	579.000000	1.021164	0.166793	579.000000	3.526000	3.322000	3.181000	3.110000	2.791000	2.212000	0.381000	0.386000	0.001720	0.005180	0.017200	0.072500	0.386000	0.490000	0.611000	0.787000	0.920000	0.749000	0.328000	0.576000	0.611000	0.104000	0.069900	0.990530	1.000000	0.990427	1.000000
K01597	993.327014	77.798706	0.078321	420.000000	422.000000	1.004762	0.068924	343.000000	3.862000	3.279000	2.880000	2.556000	1.860000	1.317000	0.209000	0.043700	0.002910	0.005830	0.011600	0.017400	0.043700	0.113000	0.320000	0.440000	0.641000	0.759000	0.254000	0.457000	0.411000	0.109000	0.044300	0.941662	0.999740	0.946497	0.999013
K01598	549.229167	22.910809	0.041714	144.000000	144.000000	1.000000	0.000000	145.000000	8.875000	5.489000	3.972000	3.717000	3.165000	2.351000	0.064200	0.006890	0.006890	0.006890	0.006890	0.006890	0.006890	0.013700	0.020600	0.041300	0.110000	0.693000	0.297000	0.421000	0.409000	0.072700	0.033100	0.925639	0.998517	1.000000	1.000000
K01599	1056.311628	57.085501	0.054042	1789.000000	1935.000000	1.081610	0.457405	1600.000000	0.776000	0.713000	0.660000	0.590000	0.441000	0.313000	0.092100	0.003120	6.250000e-04	6.250000e-04	0.001250	0.001870	0.003120	0.004370	0.007500	0.032500	0.420000	0.767000	0.237000	0.513000	0.512000	0.125000	0.106000	0.990683	0.987019	0.981577	0.996865
K01601	1351.172727	105.059901	0.077755	334.000000	440.000000	1.317365	0.693945	440.000000	3.690000	3.400000	3.227000	3.036000	2.525000	1.754000	0.306000	0.279000	0.002270	0.002270	0.006810	0.047700	0.279000	0.406000	0.484000	0.593000	0.768000	0.754000	0.350000	0.587000	0.619000	0.087300	0.050600	0.983321	0.986783	0.983675	1.000000
K01602	372.989848	39.764612	0.106610	176.000000	197.000000	1.119318	0.374122	197.000000	2.553000	2.390000	2.172000	1.781000	1.497000	1.157000	0.405000	0.395000	0.005070	0.086200	0.208000	0.284000	0.395000	0.482000	0.553000	0.670000	0.883000	0.692000	0.348000	0.542000	0.573000	0.086600	0.059700	1.000000	0.998103	1.000000	1.000000
K01607	461.676136	170.294632	0.368862	793.000000	1408.000000	1.775536	1.245216	1427.000000	0.387000	0.304000	0.266000	0.243000	0.172000	0.110000	0.024400	0.002100	7.000000e-04	7.000000e-04	7.000000e-04	0.001400	0.002100	0.003500	0.005600	0.010500	0.023100	0.766000	0.291000	0.571000	0.608000	0.111000	0.062800	0.952590	0.826709	0.933133	0.962597
K01608	1775.219178	31.368882	0.017670	282.000000	292.000000	1.035461	0.185271	292.000000	6.130000	6.113000	6.102000	6.099000	5.910000	5.434000	0.677000	0.780000	0.023900	0.448000	0.547000	0.647000	0.780000	0.890000	0.952000	0.986000	1.000000	0.718000	0.468000	0.612000	0.636000	0.066600	0.046800	0.995927	0.998350	0.990224	0.999825
K01609	790.368552	61.342498	0.077613	1579.000000	1609.000000	1.018999	0.149842	1609.000000	0.586000	0.533000	0.494000	0.428000	0.320000	0.220000	0.120000	0.004350	6.210000e-04	0.001240	0.001860	0.002480	0.004350	0.008070	0.024800	0.254000	0.487000	0.800000	0.090600	0.520000	0.526000	0.141000	0.131000	0.959943	0.999917	0.970814	1.000000
K01610	1596.412055	84.821225	0.053132	979.000000	1012.000000	1.033708	0.186145	861.000000	2.167000	1.976000	1.898000	1.759000	1.425000	1.088000	0.216000	0.011600	0.001160	0.001160	0.002320	0.004640	0.011600	0.051100	0.340000	0.501000	0.764000	0.708000	0.241000	0.499000	0.500000	0.102000	0.087100	0.996778	0.999971	0.995416	1.000000
K01611	549.483673	199.024431	0.362203	843.000000	980.000000	1.162515	0.372345	730.000000	1.245000	1.113000	0.980000	0.723000	0.360000	0.239000	0.073100	0.009580	0.001360	0.002730	0.004100	0.006840	0.009580	0.013600	0.021900	0.038300	0.310000	0.773000	0.270000	0.467000	0.460000	0.096800	0.057000	0.991529	0.987833	0.995669	1.000000
K01613	811.366822	158.859994	0.195793	1574.000000	1712.000000	1.087675	0.298226	1504.000000	1.020000	0.768000	0.501000	0.348000	0.224000	0.134000	0.019900	0.001990	6.640000e-04	6.640000e-04	6.640000e-04	0.001320	0.001990	0.002650	0.003980	0.007310	0.017900	0.770000	0.176000	0.505000	0.508000	0.130000	0.110000	0.978277	0.992927	0.959101	0.996836
